Most common page simhash values.

zetaweb=# select count(*), simhash_value from site_info group by simhash_value order by count(*) desc limit 500;
  count  |                                                          simhash_value                                                           
    1675 | 11010001010011110011110111010010001000100000010100011000011011011001100101001001001111001011110010011111100100000100110010010011
    1661 | 00000010111011000011001000001000000010011001010110100001100000100001010100100010111010101000010010000100000100010011010001000000
    1644 | 10011010101100000001100001011000010000101010111111101011100111001110101011010110011111011101000010100000000101011100000001010010
    1643 | 10110010111101000001010101100100001001110000001001011110100010011000101101010000011001001011100010110110111011101101111101101000
    1638 | 01110100101110000111001100110111010001010100001000100000110101001101001100111111100000001100010001100110001101011100010111100101
    1638 | 10100011110101100010011000101011000100010010010000010100001000010010000000010100010010011000110110111010000010010001001111011011
    1622 | 01110100101110000111001100110111010001010100001000000000110101001101001100111111100000001100010001100110001111011100010111100101
    1621 | 00101010110101000010111000000000100000111000000101110111101100011001110010000101001010010010110010100101000111100001001111111000
    1602 | 00111011100101100101010111011110010100110010110100000001111010010100100100010101000011001101011101101000100111111100010010010000
    1596 | 10000000000110000100011001011011111010100010001100000010100000000010111111100001011001011000010110001011111111101000010010110100
    1557 | 11010101110100100101010100001011100100110010111111001011001000110010111101001000111010110010011101100000111100010101110100100101
    1547 | 11110110000001110100000101111000111110100101000001111001011110010110011101011001010111001001100110011100111111001001110011110010
    1547 | 10101011000000101101010000000110100101111000101011010101101101101010000010000101110101001011010110011011001000101000111000000001
    1522 | 00011010110100001000100001101000001001101001011100010111101100011010111000000110011001110011101101010001100111101100111111001000
    1520 | 00001100000000001000010100010011101000010001100000101001101001100111101010101010111000101101010011010000000010100111010001000110
    1518 | 10011000110000010100110001010010010100011001000001011010100000011111101111011011011000110101011001010100010100011000000000100101
    1485 | 01110010111011100000111011101101111010110011011011010110101100111001000001111110011001101101010010110110010001010110111000110001
    1479 | 10011111100100000001011000111100001100100000001100101100101110110000011100001100011000101011001000111001011111110010101001101111
    1477 | 10111011000001011101011001100110101111111010101110101101100011010010111110011111100111001011111110010101001100101011010100110111
    1476 | 00110110011000011001001111111100010001111110001001111100100110010000111000000010001001011011000000100000110011100101100101111110
    1464 | 00111001011011000000000000100001010000100111101111100100100111101000001100111100110001011110110001101001010111110000000010000000
    1464 | 11001010110101111000101100100101011010001001101001111011101010010000110111001000001110101010101110111110111110110010001010110010
    1458 | 00101110011111101000010000100000010011001110101011001100000011100001111100111100010001010110010001000000010000110000000000000100
    1437 | 10110010111101000001010101100100001001110000001001010110100010011000101101010000010001001111100010110110110011101101111101101000
    1436 | 00011100111000110101010000000010101000110010001111010110110001111010101001001100000101110101000000001010011100110100111100110101
    1427 | 10011111101110101011101001101110000000100011100111000000100111011100101111010101111111000001110011100001100111010000111101000010
